tx_id,amount,supplier_id,category,timestamp,description,expected_score
TX_00141,250.33,SUP_035,OFFICE,2026-03-02T08:47:00+00:00,Dépense office NovaPay,NORMAL
TX_00231,941.19,SUP_023,EQUIPMENT,2026-02-02T14:36:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00112,160.28,SUP_014,OFFICE,2026-01-01T12:18:00+00:00,Dépense office NovaPay,NORMAL
TX_00149,727.67,SUP_045,IT,2026-03-30T11:06:00+00:00,Dépense it NovaPay,NORMAL
TX_00051,90.76,SUP_037,CONSULTING,2026-02-02T09:00:00+00:00,Règlement partiel SUP_037 tranche 1/5,NORMAL
TX_00067,664.75,SUP_014,EQUIPMENT,2026-02-23T15:30:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00075,663.43,SUP_038,EQUIPMENT,2026-01-16T17:15:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00101,477.75,SUP_033,EQUIPMENT,2026-02-05T13:41:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00050,456.37,SUP_009,TRAVEL,2026-02-08T11:34:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00144,422.83,SUP_031,EQUIPMENT,2026-01-20T11:08:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00154,1428.38,SUP_018,CONSULTING,2026-01-23T16:41:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00031,51.43,SUP_UNKNOWN_674,CATERING,2026-01-19T11:47:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_674,SUSPECT
TX_00198,142.89,SUP_001,OFFICE,2026-02-23T16:52:00+00:00,Dépense office NovaPay,NORMAL
TX_00136,852.83,SUP_009,EQUIPMENT,2026-01-22T15:58:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00222,498.4,SUP_011,TRAVEL,2026-01-13T09:28:00+00:00,Dépense travel NovaPay,NORMAL
TX_00193,596.21,SUP_018,EQUIPMENT,2026-03-09T15:58:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00082,134.85,SUP_020,OFFICE,2026-02-26T16:45:00+00:00,Dépense office NovaPay,NORMAL
TX_00157,1446.78,SUP_049,EQUIPMENT,2026-02-05T15:15:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00089,546.52,SUP_029,EQUIPMENT,2026-02-03T10:47:00+00:00,Dépense equipment NovaPay,NORMAL
TX_00172,3643.45,SUP_001,CONSULTING,2026-03-23T15:06:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00090,892.76,SUP_005,TRAINING,2026-03-13T08:07:00+00:00,Dépense training NovaPay,NORMAL
TX_00120,1015.53,SUP_012,CONSULTING,2026-01-14T14:14:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00047,140.72,SUP_005,OFFICE,2026-03-09T02:14:00+00:00,Transaction hors horaires habituels,SUSPECT
TX_00070,3787.18,SUP_013,CONSULTING,2026-03-13T15:09:00+00:00,Dépense consulting NovaPay,NORMAL
TX_00246,42.8,SUP_040,CATERING,2026-03-13T13:58:00+00:00,Dépense catering NovaPay,NORMAL
TX_00003,767.45,SUP_007,IT,2026-03-30T16:10:00+00:00,Facture SUP_007 it,NORMAL
TX_00039,40.26,SUP_UNKNOWN_282,CATERING,2026-02-03T16:48:00+00:00,Paiement fournisseur inconnu SUP_UNKNOWN_282,SUSPECT
